Team,Position,Name,Minutes_played,Games_played,Yellow_Cards,Red_Cards,Goals_scored,Penalties_scored,Own_goals,Tackles,Shots,Assists,Passes,Goals_per_Match,Cards_per_Match,Passing_Efficiency,Set
Villarreal CF,Midfielder,Samuel Chukwueze,1.7080000000000002,26,2,0,5,0,0,2,42,2,504.0,0.19230769230769232,0.07692307692307693,295.0819672131147,Train
Sevilla FC,Defender,Carriço,2.132,24,10,0,1,0,0,12,7,1,1.001,0.041666666666666664,0.4166666666666667,0.46951219512195114,Train
Villarreal CF,Midfielder,Cáseres,1.588,23,10,0,0,0,0,9,4,1,862.0,0.0,0.43478260869565216,542.8211586901763,Train
Sevilla FC,Forward,Promes,1.569,33,2,0,2,0,0,3,19,3,757.0,0.06060606060606061,0.06060606060606061,482.4729126832377,Train
R. Valladolid CF,Midfielder,Keko Gontán,1.543,26,3,0,2,0,0,1,21,1,416.0,0.07692307692307693,0.11538461538461539,269.6046662346079,Train
Girona FC,Midfielder,Valery Fernández,884.0,17,2,0,0,0,0,1,1,1,279.0,0.0,0.11764705882352941,0.3156108597285068,Train
SD Huesca,Midfielder,Musto,1.6869999999999998,24,11,0,0,0,0,11,11,0,775.0,0.0,0.4583333333333333,459.3953764078246,Train
Valencia CF,Defender,Gayá,3.138,35,10,0,1,0,0,6,12,1,1.4509999999999998,0.02857142857142857,0.2857142857142857,0.4623964308476736,Train
Atlético de Madrid,Forward,Diego Costa,1.114,16,4,1,2,0,0,0,12,2,300.0,0.125,0.3125,269.29982046678634,Train
SD Huesca,Midfielder,Herrera,1.158,16,5,0,0,0,0,1,10,0,433.0,0.0,0.3125,373.9205526770294,Train
Rayo Vallecano,Goalkeeper,Dimitrievski,1.89,21,3,0,0,0,0,0,0,0,525.0,0.0,0.14285714285714285,277.77777777777777,Train
Athletic Club,Midfielder,Raúl García,2.379,33,13,0,9,2,0,1,63,3,892.0,0.2727272727272727,0.3939393939393939,374.94745691467006,Train
RCD Espanyol,Defender,O. Duarte,657.0,11,0,0,0,0,1,7,2,0,333.0,0.0,0.0,0.5068493150684932,Train
SD Huesca,Defender,Diéguez,749.0,9,3,0,0,0,0,4,1,0,204.0,0.0,0.3333333333333333,0.27236315086782376,Train
Getafe CF,Midfielder,Arambarri,2.685,33,8,0,1,0,1,9,23,2,739.0,0.030303030303030304,0.24242424242424243,275.23277467411543,Train
Rayo Vallecano,Midfielder,Manuel Navarro,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Girona FC,Forward,Stuani,2.7310000000000003,32,9,0,19,5,0,1,67,0,503.0,0.59375,0.28125,184.18161845477846,Train
Real Madrid,Midfielder,M. Llorente,540.0,7,1,0,0,0,0,0,1,0,375.0,0.0,0.14285714285714285,0.6944444444444444,Train
